科目ﾅﾝﾊﾞﾘﾝｸﾞ,科目名,担当者,学期・曜日・時限・教室,
TRM1003,早期体験プログラム,門田　岳久高岡　文章千住　一麻生　憲一松村　公明杜　国慶石橋　正孝鄭　玉姫越智　郁乃,通年・火・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA606&value(crclumcd)=
TRC3400,トラベルライティング,抜井　ゆかり,春・火・２ N8B1,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB376&value(crclumcd)=
TRC2200,文化政策論,小西　公大,秋・火・２ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB105&value(crclumcd)=
,アジア太平洋観光研究総論,豊田　三佳,秋・火・３ N215,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB113&value(crclumcd)=
TRC2500,アジア太平洋観光論,豊田　三佳,秋・火・３ N215,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB111&value(crclumcd)=
,演習（４年）Ａ,庄司　貴行,春・火・３ N227,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA677&value(crclumcd)=
,演習（４年）Ａ,権　赫麟,春・火・３ N842,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB677&value(crclumcd)=
,演習（４年）Ａ,村上　和夫,春・火・３ N241,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB685&value(crclumcd)=
,演習（４年）Ｂ,庄司　貴行,秋・火・３ N227,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA678&value(crclumcd)=
,演習（４年）Ｂ,権　赫麟,秋・火・３ N842,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB678&value(crclumcd)=
,演習（４年）Ｂ,村上　和夫,秋・火・３ N241,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB686&value(crclumcd)=
TRM1200,外国史１,坪井　祐司,春・火・３ N8B1,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA824&value(crclumcd)=
TRM1200,外国史２,坪井　祐司,秋・火・３ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA825&value(crclumcd)=
TRC2100,外国地誌４,大塚　直樹,春・火・３ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB316&value(crclumcd)=
TRC2200,観光人類学２,須永　和博,秋・火・３ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB074&value(crclumcd)=
,観光と性,豊田　三佳,春・火・３ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB338&value(crclumcd)=
TRC1200,交流文化研究２（文化人類学の方法）,門田　岳久,春・火・３ N212,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB002&value(crclumcd)=
,地域研究法２（文化人類学）,門田　岳久,春・火・３ N212,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB016&value(crclumcd)=
,地域研究法２（文化人類学）,門田　岳久,春・火・３ N212,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB026&value(crclumcd)=
,外国史１,坪井　祐司,春・火・３ N8B1,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX251&value(crclumcd)=
,外国史２,坪井　祐司,秋・火・３ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX252&value(crclumcd)=
TRM3003,観光特論２（朝鮮語）,鄭　玉姫,春・火・４ N322,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA504&value(crclumcd)=
TRC2400,言説分析,石橋　正孝,春・火・４ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB108&value(crclumcd)=
TRM1200,自然地理学,中山　大地,秋・火・４ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA837&value(crclumcd)=
,自然地理学,中山　大地,秋・火・４ N312,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX315&value(crclumcd)=
TRM1200,哲学,加藤　喜市,秋・火・４ N214,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA802&value(crclumcd)=
,演習（４年）Ａ,越智　郁乃,春・火・５ N432,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA695&value(crclumcd)=
,演習（４年）Ｂ,越智　郁乃,秋・火・５ N432,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA696&value(crclumcd)=
TRM1200,地理学１,中山　大地,春・火・５ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA820&value(crclumcd)=
TRM1200,地理学２,中山　大地,秋・火・５ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA821&value(crclumcd)=
TRC3000,レジャー・レクリエーション論,宮入　恭平,春・火・５ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB377&value(crclumcd)=
,地理学１,中山　大地,春・火・５ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX231&value(crclumcd)=
,地理学２,中山　大地,秋・火・５ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX232&value(crclumcd)=
TRM3003,観光特論４（英語）,ウエノ，Ｒ．,春・火・５ N423春・火・６ N423春・火・７ N423春・水・５ N423春・水・６ N423春・水・７ N423春・木・５ N423春・木・６ N423春・木・７ N423春・金・５ N423春・金・６ N423春・金・７ N423春・土・３ N423春・土・４ N423春・土・５ N423春他 N423,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA506&value(crclumcd)=
,米国欧州観光研究総論,ウエノ，Ｒ．,春・火・５ N423春・火・６ N423春・火・７ N423春・水・５ N423春・水・６ N423春・水・７ N423春・木・５ N423春・木・６ N423春・木・７ N423春・金・５ N423春・金・６ N423春・金・７ N423春・土・３ N423春・土・４ N423春・土・５ N423春他 N423,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB114&value(crclumcd)=
TRC2503,米国欧州観光論,ウエノ，Ｒ．,春・火・５ N423春・火・６ N423春・火・７ N423春・水・５ N423春・水・６ N423春・水・７ N423春・木・５ N423春・木・６ N423春・木・７ N423春・金・５ N423春・金・６ N423春・金・７ N423春・土・３ N423春・土・４ N423春・土・５ N423春他 N423,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB112&value(crclumcd)=
,言語と文化（英語）Ａ,藤田　玲子,春・水・１ N842,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB205&value(crclumcd)=
,言語と文化（英語）Ｂ,藤田　玲子,秋・水・１ N842,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB206&value(crclumcd)=
,都市観光論,杜　国慶,秋・水・１ N421,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB125&value(crclumcd)=
TRM1000,観光概論,東　徹橋本　俊哉豊田　由貴夫豊田　三佳佐藤　大祐小野　良平葛野　浩昭麻生　憲一羽生　冬佳,春・水・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA006&value(crclumcd)=
TRM1000,観光概論,東　徹橋本　俊哉豊田　由貴夫豊田　三佳佐藤　大祐小野　良平葛野　浩昭麻生　憲一羽生　冬佳,春・水・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA016&value(crclumcd)=
TRM1000,観光史,千住　一,秋・水・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA007&value(crclumcd)=
TRM1000,観光史,千住　一,秋・水・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA017&value(crclumcd)=
,観光史,千住　一,秋・水・２ N121,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HB012&value(crclumcd)=
TRM3003,観光特論１（中国語）,張　碧惠,春・水・２ N322,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA503&value(crclumcd)=
TRM2003,観光特論５（英語）,藤田　玲子,秋・水・２ N842,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA517&value(crclumcd)=
TRM1200,経済学,石井　優子,春・水・２ N421,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HA814&value(crclumcd)=
,経済学,石井　優子,春・水・２ N421,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX190&value(crclumcd)=
