基幹科目
キリスト教学科
文学科英米文学専修
文学科ドイツ文学専修
文学科フランス文学専修
文学科日本文学専修
文学科文芸・思想専修
史学科
教育学科
異文化コミュニケーション学科
経済学科
経済政策学科
会計ファイナンス学科
経営学科
国際経営学科
数学科
物理学科
化学科
生命理学科
社会学科
現代文化学科
メディア社会学科
法学科
国際ビジネス法学科
政治学科
観光学科
交流文化学科
コミュニティ政策学科
福祉学科
スポーツウェルネス学科
心理学科
映像身体学科
