有田　英也
コンルール，Ｇ
クーショ，Ｍ
ディオ，Ｒ．
海老根　龍介
榎本　恵子
廣松　勲
ヒルシャワー
昼間　賢
泉　美知子
陣野　俊史
桑瀬　章二郎
マンジャン，Ａ
中尾　和美
小黒　昌文
尾崎　文太
ルーセル，Ｆ．
サバティエ，Ａ
斎藤　かぐみ
坂倉　裕治
坂本　浩也
澤田　直
菅谷　憲興
須藤　佳子
横山　安由美
