CMX1310,ウエルネス福祉論,濁川　孝志,春・月・１ N333,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA070&value(crclumcd)=
CMX2200,家族心理学の基礎,本田　麻希子,春・月・１ N8B1,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA282&value(crclumcd)=
CMD2150,ウエルネススポーツ医学,加藤　晴康,秋・月・２ N213,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID221&value(crclumcd)=
CMD1110,解剖学,加藤　晴康,春・月・２ N313,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID155&value(crclumcd)=
CMD2490,ストレングス・コンディショニング論,今西　平,秋・月・２ N321,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID256&value(crclumcd)=
CMD2400,スポーツコーチ学,沼澤　秀雄,秋・月・２ N212,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID245&value(crclumcd)=
CMD3803,スポーツマネジメント論,ライトナー,春・月・２ N852,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID410&value(crclumcd)=
CMD3200,動作分析法演習,石井　秀幸,秋・月・２ N832,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID390&value(crclumcd)=
CMD3250,バイオメカニクス,石井　秀幸,春・月・２ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID405&value(crclumcd)=
CMX1610,法学１,金子　和夫,春・月・２ N331,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA501&value(crclumcd)=
CMX1610,法学２,金子　和夫,秋・月・２ N214,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA502&value(crclumcd)=
,法学１,金子　和夫,春・月・２ N331,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX171&value(crclumcd)=
,法学２,金子　和夫,秋・月・２ N214,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX172&value(crclumcd)=
,専門演習,杉浦　克己,通年・月・３ N332,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID552&value(crclumcd)=
,専門演習,沼澤　秀雄,通年・月・３ N341,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID554&value(crclumcd)=
,専門演習,松尾　哲矢,通年・月・３ N342,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID555&value(crclumcd)=
,専門演習,加藤　晴康,通年・月・３ N343,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID556&value(crclumcd)=
,専門演習,佐野　信子,通年・月・３ N211,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID557&value(crclumcd)=
,専門演習,石渡　貴之,通年・月・３ NT21,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID559&value(crclumcd)=
,専門演習,今西　平,通年・月・３ N345,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID560&value(crclumcd)=
,専門演習,ライトナー,通年・月・３ N346,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID561&value(crclumcd)=
,専門演習,石井　秀幸,通年・月・３ N347,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID562&value(crclumcd)=
,専門演習１,杉浦　克己,春・月・３ N332,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID602&value(crclumcd)=
,専門演習１,沼澤　秀雄,春・月・３ N341,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID604&value(crclumcd)=
,専門演習１,松尾　哲矢,春・月・３ N342,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID605&value(crclumcd)=
,専門演習１,加藤　晴康,春・月・３ N343,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID606&value(crclumcd)=
,専門演習１,佐野　信子,春・月・３ N211,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID607&value(crclumcd)=
,専門演習１,石渡　貴之,春・月・３ NT21,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID609&value(crclumcd)=
,専門演習１,今西　平,春・月・３ N345,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID610&value(crclumcd)=
,専門演習１,ライトナー,春・月・３ N346,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID611&value(crclumcd)=
,専門演習１,石井　秀幸,春・月・３ N347,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID612&value(crclumcd)=
,専門演習２,杉浦　克己,秋・月・３ N332,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID652&value(crclumcd)=
,専門演習２,沼澤　秀雄,秋・月・３ N341,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID654&value(crclumcd)=
,専門演習２,松尾　哲矢,秋・月・３ N342,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID655&value(crclumcd)=
,専門演習２,加藤　晴康,秋・月・３ N343,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID656&value(crclumcd)=
,専門演習２,佐野　信子,秋・月・３ N211,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID657&value(crclumcd)=
,専門演習２,石渡　貴之,秋・月・３ NT21,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID659&value(crclumcd)=
,専門演習２,今西　平,秋・月・３ N345,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID660&value(crclumcd)=
,専門演習２,ライトナー,秋・月・３ N346,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID661&value(crclumcd)=
,専門演習２,石井　秀幸,秋・月・３ N347,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID662&value(crclumcd)=
,グループワーク,諏訪　茂樹,秋・月・４ N333,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID280&value(crclumcd)=
,コミュニティ福祉学入門,河東　仁木下　武徳藤井　敦史原田　晃樹権　安理原田　峻外山　公美北島　健一空閑　厚樹熊上　崇坂無　淳,秋・月・４ N431,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA010&value(crclumcd)=
CMD1900,スポーツウエルネス学入門,杉浦　克己沼澤　秀雄大石　和男今西　平濁川　孝志石井　秀幸ライトナー松尾　哲矢佐野　信子石渡　貴之加藤　晴康,春・月・４ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID015&value(crclumcd)=
,日本史１,茶谷　誠一,春・月・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX241&value(crclumcd)=
CMX1610,日本史１,茶谷　誠一,春・月・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA511&value(crclumcd)=
,日本史２,茶谷　誠一,秋・月・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=HX242&value(crclumcd)=
CMX1610,日本史２,茶谷　誠一,秋・月・４ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA512&value(crclumcd)=
CMD1150,運動処方・療法,石渡　貴之,秋・月・５ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID107&value(crclumcd)=
CMD1210,生理学,石渡　貴之,春・月・５ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID110&value(crclumcd)=
CMX1110,ノーマライゼーション論,結城　俊哉,春・月・５ N333,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA025&value(crclumcd)=
CMX2200,ファシリテーション論,未定（コミ）,秋・月・５ N854,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA283&value(crclumcd)=
CMX3200,アジアの宗教と文化,河東　仁,春・火・１ N213,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA454&value(crclumcd)=
CMD1290,運動生理学,柳田　信也,秋・火・１ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID115&value(crclumcd)=
,公衆衛生学,神野　宏司,春・火・１ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA473&value(crclumcd)=
CMD3210,公衆衛生学,神野　宏司,春・火・１ N311,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=ID425&value(crclumcd)=
,死生学,河東　仁,春・火・１ N213,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA453&value(crclumcd)=
,宗教心理学,河東　仁,秋・火・１ N431,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA263&value(crclumcd)=
CMX1300,生涯スポーツ論,菊　幸一,春・火・１ N851,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=IA096&value(crclumcd)=
