id,name,price,explanation,course_id,created_at,updated_at,author,publisher,published_year,isbn_10,isbn_13,issn_13,book_code,url,textbook_status,small_thumbnail,thumbnail,info_link
1062,美学辞典  ,,none,2265,2017-03-26 17:11:21 UTC,2017-06-05 09:27:34 UTC,佐々木健一 ,東京大学出版会 ,1995 ,STANFORD:36105120621920,0,,none,"",published,http://books.google.com/books/content?id=RpZLAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=RpZLAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=RpZLAQAAIAAJ&dq=title:%E7%BE%8E%E5%AD%A6%E8%BE%9E%E5%85%B8+%C2%A0%3Fq%3Dauthors:%E4%BD%90%E3%80%85%E6%9C%A8%E5%81%A5%E4%B8%80%C2%A0&hl=&source=gbs_api
1063,フィールドワークの技法と実際  ,,none,2267,2017-03-26 17:11:24 UTC,2017-06-05 09:27:35 UTC,箕浦康子 ,ミネルヴァ書房 ,1999 ,0,0,,46230300400,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:4623030040,published,none,none,none
1064,『翻訳通訳研究の新地平』  ,,none,2270,2017-03-26 17:11:30 UTC,2017-06-05 09:27:37 UTC,武田珂代子編著 ,晃洋書房 ,2017 ,0,0,,97847710281350,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784771028135,published,none,none,none
1065,Orientalism  ,,none,2277,2017-03-26 17:11:42 UTC,2017-06-05 09:29:39 UTC,Edward Said ,Vintage ,1979 ,0,0,,0394740670,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:039474067X,published,none,none,none
1066,"Visual Methodologies: An Introduction to Researching with Visual Materials, 4th ed.  ",,"A new edition of Gillian Rose's bestselling guide to researching the visual. With over 28,000 copies sold worldwide, it is the go-to book for students and researchers across the social sciences and humanities.",2277,2017-03-26 17:11:42 UTC,2017-06-05 09:29:41 UTC,Gillian Rose ,Sage ,2016 ,1473948908,9781473948907,,14739489080,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:1473948908,published,http://books.google.com/books/content?id=Y4P3sgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=Y4P3sgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=Y4P3sgEACAAJ&dq=isbn:1473948908&hl=&source=gbs_api
1067,"How to do a Media and Cultural Studies, 2nd ed.  ",,"The Second Edition of this student favorite takes readers step-by-step through the theories, processes and methods of each stage of research, from how to create a research question, design the project and write it up. It enables students to have a clear sense of how their own work relates to broader scholarship and inspires understanding of why studying the media matters. Now 20% bigger, new features include: Brand new chapters on the how and why of researching media and culture All new case studies spotlighting the international media landscape Online readings showing you how methods get used in real research Essential new material on ethnography, digital content analysis, online surveys and researching blogs",2277,2017-03-26 17:11:42 UTC,2017-06-05 09:29:42 UTC,Jane Stokes ,Sage ,2013 ,1849207852,9781849207850,,97818492078500,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9781849207850,published,http://books.google.com/books/content?id=QZOsbwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=QZOsbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=QZOsbwAACAAJ&dq=isbn:9781849207850&hl=&source=gbs_api
1068,The Human Tradition in Modern Japan  ,,"The Human Tradition in Modern Japan is a collection of short biographies of ordinary Japanese men and women, most of them unknown outside their family and locality, whose lives collectively span the nineteenth and twentieth centuries. Their stories present a counterweight to the prevailing stereotypes, providing students with depictions of real people through the records they have left-records that detail experiences and aspirations. The Human Tradition in Modern Japan offers a human-scale perspective that focuses on individuals, reconstitutes the meaning of people's experiences as they lived through them, and puts a human face on history. It skillfully bridges the divides between the sexes, between the local and the national, and between rural and urban, as well as spanning crucial moments in the history of modern Japan. The Human Tradition in Modern Japan is an excellent resource for courses on Japanese history, East Asian history, and peoples and cultures of Japan.",2279,2017-03-26 17:11:47 UTC,2017-06-05 09:29:44 UTC,"Anne Walthall, ed. ",SR Books ,2002 ,0842029125,9780842029124,,08420291250,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:0842029125,published,http://books.google.com/books/content?id=nGalbpRCTOMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=nGalbpRCTOMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=nGalbpRCTOMC&dq=isbn:0842029125&hl=&source=gbs_api
1069,Japan: A Modern History  ,,"Japan: A Modern History provides a comprehensive narrative that integrates the political, social, cultural, and economic history of modern Japan from the investiture of Tokugawa Ieyasu in 1603 to the present.",2279,2017-03-26 17:11:47 UTC,2017-06-05 09:29:46 UTC,James L. McClain ,W.W. Norton ,2002 ,0393041565,9780393041569,,03930415650,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:0393041565,published,http://books.google.com/books/content?id=obYhbzN-dY0C&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=obYhbzN-dY0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=obYhbzN-dY0C&dq=isbn:0393041565&hl=&source=gbs_api
1070,『言語テストの基礎知識』  ,,5000社以上が実践!中小・零細企業のための永遠のバイブル!,2285,2017-03-26 17:11:58 UTC,2017-06-05 09:29:48 UTC,"Brown, J. D.著　和田稔訳 ",大修館 , ,4894517205,9784894517202,,19980,"",published,http://books.google.com/books/content?id=vOP-vQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=vOP-vQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.co.jp/books?id=vOP-vQAACAAJ&dq=title:%E3%80%8E%E8%A8%80%E8%AA%9E%E3%83%86%E3%82%B9%E3%83%88%E3%81%AE%E5%9F%BA%E7%A4%8E%E7%9F%A5%E8%AD%98%E3%80%8F+%C2%A0%3Fq%3Dauthors:Brown,+J.+D.%E8%91%97%E3%80%80%E5%92%8C%E7%94%B0%E7%A8%94%E8%A8%B3%C2%A0&hl=&source=gbs_api"
1071,『言語学入門』  ,,これから言語学を始める人のための入門書,2286,2017-03-26 17:12:00 UTC,2017-06-05 09:29:50 UTC,佐久間淳一他 ,研究社 ,2004 ,4327401382,9784327401382,,none,"",published,http://books.google.com/books/content?id=-r0rGcP6cJ0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=-r0rGcP6cJ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.jp/books?id=-r0rGcP6cJ0C&dq=title:%E3%80%8E%E8%A8%80%E8%AA%9E%E5%AD%A6%E5%85%A5%E9%96%80%E3%80%8F+%C2%A0%3Fq%3Dauthors:%E4%BD%90%E4%B9%85%E9%96%93%E6%B7%B3%E4%B8%80%E4%BB%96%C2%A0&hl=&source=gbs_api
