id,name,price,explanation,course_id,created_at,updated_at,author,publisher,published_year,isbn_10,isbn_13,issn_13,book_code,url,textbook_status,small_thumbnail,thumbnail,info_link
168,International Cases in the Business of Sport 2nd edition ?,,none,297,2017-03-26 13:03:13 UTC,2017-04-01 08:38:51 UTC,"Chadwick, S., Arthur, D., & Beech, J.?",Routledge?,2017?,STANFORD:36105011798043,0,,97811388024520,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9781138802452,published,http://books.google.com/books/content?id=rJlHAQAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=rJlHAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=rJlHAQAAIAAJ&source=gbs_api
169,Sport management: An exploration of the field and its value ?,,none,300,2017-03-26 13:03:17 UTC,2017-04-01 08:41:04 UTC,"Bowers, M. T. & Dixon, M. A.?",Sagamore publishing?,2015?,1571677267,9781571677266,,97815716772660,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9781571677266,published,none,none,http://books.google.co.jp/books?id=X_2RrgEACAAJ&dq=Sport+management:+An+exploration+of+the+field+and+its+value+%C2%A0%3Fq%3DSagamore+publishing%C2%A0&hl=&source=gbs_api
170,Sport Consumer Behavior ?,,"Sports marketing has become a cornerstone of successful sports management and business, driving growth in sport organisations and widening fan-bases. Showcasing the latest thinking and research in sports marketing from around the world, the Routledge Handbook of Sports Marketing goes further than any other book in exploring the full range of this exciting discipline. Featuring contributions from world-leading scholars and practitioners from across the globe, the book examines theories, concepts, issues and best practice across six thematic sections?brands, sponsorship, ambush marketing, fans and spectators, media, and ethics and development?and examines key topics such as: consumer behaviour marketing communications strategic marketing international marketing experiential marketing and marketing and digital media Comprehensive and authoritative, the Routledge Handbook of Sports Marketing is an essential reference for any student or researcher working in sport marketing, sport management, sport business, sports administration or sport development, and for all practitioners looking to develop their professional knowledge.",301,2017-03-26 13:03:19 UTC,2017-04-01 08:41:05 UTC,"Funk, D.C., Alexandris, K., & McDonald, H.?",Routledge?,2017?,9781317584919,1317584910,,97811389124960,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9781138912496,published,http://books.google.com/books/content?id=ZrBACwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ZrBACwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=ZrBACwAAQBAJ&source=gbs_api
171,『非営利と営利の組織理論』 ?,,人的集合体における知情意の学習理論,302,2017-03-26 13:03:22 UTC,2017-04-01 08:43:26 UTC,村上綱実?,絢文社?,2014?,4779502454,9784779502453,,97849154161630,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784915416163,published,http://books.google.com/books/content?id=hT2iOgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=hT2iOgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=hT2iOgAACAAJ&dq=%E3%80%8E%E9%9D%9E%E5%96%B6%E5%88%A9%E3%81%A8%E5%96%B6%E5%88%A9%E3%81%AE%E7%B5%84%E7%B9%94%E7%90%86%E8%AB%96%E3%80%8F+%C2%A0%3Fq%3D%E7%B5%A2%E6%96%87%E7%A4%BE%C2%A0&hl=&source=gbs_api
172,A Bilingual Introduction to Corporate Finance ?,,本書は、ファイナンスの基本的な知識を、英語・日本語の2カ国語で解説するものです。コンパクトにまとまっていながらも、ファイナンスを学ぶ大学生・大学院生の入門テキストとしては十分すぎる項目を網羅し、社会人のみなさんにも大いに役立つ内容です。海外との取引が多い方、上司・同僚・部下が日本人ではない方、外資系に勤務する方など、英語でコーポレートファイナンスを学びたいならこの1冊でOK!,304,2017-03-26 13:03:25 UTC,2017-04-01 08:43:28 UTC,Akashi Hongo?,Chuo Keizai?,2014?,4502116912,9784502116919,,none,"",published,http://books.google.com/books/content?id=x-28oQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=x-28oQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=x-28oQEACAAJ&dq=A+Bilingual+Introduction+to+Corporate+Finance+%C2%A0%3Fq%3DChuo+Keizai%C2%A0&hl=&source=gbs_api
173,"Consumer Behaviour Buying, Having and Being, 11th Edition, Prentice-Hall. ?",,第10版となる本書はミレニアム版と呼んでいる。新ミレニアムには市場の変化のペースにいっそう拍車がかかり始める。過去の理論と実践の中から最良のものを選び出し、企業が新たなミレニアムに事業を成功させるために必要な新しいマーケティングのアイデアやツール、実践法を紹介するいい機会である。また、これまでの版の基本的な特長を生かしながらも、WWWとe‐コマース(電子商取引)がマーケティングの世界を劇的に変えつつあるさまを示している。,305,2017-03-26 13:03:26 UTC,2017-04-01 08:43:30 UTC,"Solomon, Michael R.?",Pearson?,2015?,4894716445,9784894716445,,none,"",published,http://books.google.com/books/content?id=2MYhPQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=2MYhPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.co.jp/books?id=2MYhPQAACAAJ&dq=Consumer+Behaviour+Buying,+Having+and+Being,+11th+Edition,+Prentice-Hall.+%C2%A0%3Fq%3DPearson%C2%A0&hl=&source=gbs_api"
174,"Principles of Microeconomics, 7th Edition ?",,"With its clear and engaging writing style, PRINCIPLES OF ECONOMICS, Seventh Edition, continues to be one of the most popular books on economics available today. Mankiw emphasizes material that you are likely to find interesting about the economy (particularly if you are studying economics for the first time), including real-life scenarios, useful facts, and the many ways economic concepts play a role in the decisions you make every day. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",306,2017-03-26 13:03:28 UTC,2017-04-01 08:43:32 UTC,N. Gregory Mankiw ?,Cengage Learning?,2014?,9781305156043,1305156048,,13050816760,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:1305081676,published,http://books.google.com/books/content?id=K-jKAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=K-jKAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.co.jp/books?id=K-jKAgAAQBAJ&dq=Principles+of+Microeconomics,+7th+Edition+%C2%A0%3Fq%3DCengage+Learning%C2%A0&hl=&source=gbs_api"
175,Fundamentals of Multinational Finance ?,,"Written for the undergraduate student, this edition aims to prepare the leaders of multinational enterprises. This work includes mini-cases and real-world examples to teach students to recognize the challenges and benefit from the opportunities inherent in modern global markets. It also includes explanations and vignettes.",308,2017-03-26 13:03:32 UTC,2017-04-01 08:43:34 UTC,Moffet; Stonehill; Eiteman?,Pearson?,?,PSU:000057097282,0,,none,"",published,http://books.google.com/books/content?id=prTzAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=prTzAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=prTzAAAAMAAJ&dq=Fundamentals+of+Multinational+Finance+%C2%A0%3Fq%3DPearson%C2%A0&hl=&source=gbs_api
176,『1からの経営史』 ?,,世界に挑むビジネスモデルや経営思想はここから生まれた。日本の企業システムと企業者活動の原点を学ぶ。,309,2017-03-26 13:03:33 UTC,2017-04-01 14:50:59 UTC,宮本又郎 他?,碩学舎?,2014?,4502089001,9784502089008,,97845020890080,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:9784502089008,published,http://books.google.com/books/content?id=GJKnoAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=GJKnoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.jp/books?id=GJKnoAEACAAJ&dq=%E3%80%8E1%E3%81%8B%E3%82%89%E3%81%AE%E7%B5%8C%E5%96%B6%E5%8F%B2%E3%80%8F+%C2%A0%3Fq%3D%E7%A2%A9%E5%AD%A6%E8%88%8E%C2%A0&hl=&source=gbs_api
177,Strategic Management and Business Policy ?,,"The 2nd edition of Strategy in Practice presents a practitioner focused approach to strategy. It is increasingly recognised that the ability to adapt classic formulas to changing circumstances and develop fast, sound strategic thinking is what differentiates the successful corporate leader. Developed from experience in industry this successful text will include an instructor site with PowerPoint slides, extra examples and exercises, and links highlighting changing business practice. While rigorously founded on current thinking and theoretical concepts in the field of strategic management it aims to: ? provide the strategy practitioner with a systematic and insight-driven approach to strategic thinking ? establish and translate the relevance of strategy theory to its application in the practice field ? lead the reader through the strategic thinking process, beginning with the formulation of compelling and clearly articulated strategic questions that set the scene for practical issues ? provide tools of strategic analysis in combination with informed intuition to understand the strategic landscape.",310,2017-03-26 13:03:35 UTC,2017-04-01 14:51:00 UTC,"Wheelen, Hunger, Hoffman & Bamford?",Pearson?,2015?,9781118519271,1118519272,,01331261450,http://rikkyo.summon.serialssolutions.com/search?q=ISBN:0133126145,published,http://books.google.com/books/content?id=znVHXppMfrcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=znVHXppMfrcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=znVHXppMfrcC&source=gbs_api
