SCI3220,サイエンスコミュニケーション実践（ＳＡＬ,工藤　光子,秋・月・２ 4252,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK011&value(crclumcd)=
LFS3210,生物物理学　２,花井　亮,秋・月・２ X305,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD011&value(crclumcd)=
SCI1220,理学とキャリア（ＳＡＬ１）,工藤　光子杉山　健一平山　孝人黒田　智明末次　正幸逸見　敏郎,春・月・２ ９大,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK001&value(crclumcd)=
LFS3310,分子免疫学,加藤　秀人,春・月・３ 5224,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD125&value(crclumcd)=
LFS2200,生物化学１,松山　伸一,秋・月・４ X204,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD005&value(crclumcd)=
LFS2310,動物科学,後藤　聡,秋・月・４ X305,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD130&value(crclumcd)=
LFS2100,分子生物学１,塩見　大輔,春・月・４ 5321,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD008&value(crclumcd)=
SCI2110,科学史,内田　正夫,秋・月・５ 4342,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK004&value(crclumcd)=
LFS2200,基礎化学　１,末次　正幸,秋・月・５ X204,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD034&value(crclumcd)=
SCI3220,理数教育企画（ＳＡＬ３Ａ）,工藤　光子西納　武男中野　祐司大山　秀子岡　敏彦,春・月・５ A202,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CK003&value(crclumcd)=
LFS1520,生命理学ゼミナール　１,木下　勉関根　靖彦末次　正幸榊原　恵子,春・火・２ 5503,/timetable/slbssbdr.do?value(risyunen)=2017&value(semekikn)=1&value(kougicd)=CD134&value(crclumcd)=
